ActID,Name,StartDay,RegExpDay,Capacity,Price,Price2,Company,Enable,FieldStr1,FieldStr2,FieldInt1,FieldInt2
E1070510001,【雲林】笑傲樂園任遨遊之旅-親子-適合6歲以上(第一梯次),9/1/2018,7/20/2018,17,5000,5000,wt2014,-1,,,0,0
E1070510002,【雲林】笑傲樂園任遨遊之旅-親子-適合6歲以上(第二梯次),10/20/2018,9/14/2018,11,5000,5000,wt2014,-1,,,0,0
E1070510003,【雲林】笑傲樂園任遨遊之旅-親子-適合6歲以上(第三梯次),11/3/2018,9/28/2018,12,5000,5000,wt2014,-1,,,0,0
E1070510004,【台南】瘋遊古蹟城~歡笑賞玩南台灣-親子-適合3歲以上(第一梯次),11/24/2018,10/19/2018,8,5000,5000,wt2014,-1,,,13,6
E1070510005,【台南】瘋遊古蹟城~歡笑賞玩南台灣-親子-適合3歲以上(第二梯次),12/8/2018,11/2/2018,14,5000,5000,wt2014,-1,,,13,6
E1070510006,【台中】手做親子瘋麗寶之行-親子同行-適合6歲以上,11/17/2018,10/12/2018,9,5000,5000,wt2014,-1,,,0,0
E1070510007,【花蓮】後山親子樂活~海洋總動員之旅-親子-適合3歲以上(第一梯次),9/8/2018,8/3/2018,6,5000,5000,wt2014,-1,,,0,0
E1070510008,【花蓮】後山親子樂活~海洋總動員之旅-親子-適合3歲以上(第二梯次),9/29/2018,8/24/2018,5,5000,5000,wt2014,-1,,,0,0
E1070510009,【台北】漫遊明池~悠遊馬告神木群之旅-青年體驗(第一梯次),11/3/2018,9/28/2018,5,5000,5000,wt2014,-1,,,0,0
E1070510010,【台北】漫遊明池~悠遊馬告神木群之旅-青年體驗(第二梯次),12/1/2018,10/26/2018,20,5000,5000,wt2014,-1,,,7,1
E1070510011,【台北】漫遊明池~悠遊馬告神木群之旅-青年體驗(第三梯次),12/8/2018,11/2/2018,14,5000,5000,wt2014,-1,,,0,0
E1070510012,【宜蘭】雲霧繚繞~山中健行之旅-青年體驗(第一梯次),11/17/2018,10/12/2018,30,5000,5000,wt2014,-1,,,8,1
E1070510013,【宜蘭】雲霧繚繞~山中健行之旅-青年體驗(第二梯次),11/24/2018,10/19/2018,20,5000,5000,wt2014,-1,,,3,0
E1070510014,【花蓮】花蓮山海脈動深度之旅-深度之旅-適合10歲以上(第一梯次),9/1/2018,7/27/2018,11,5000,5000,wt2014,-1,,,0,0
E1070510015,【花蓮】花蓮山海脈動深度之旅-深度之旅-適合10歲以上(第二梯次),9/29/2018,8/24/2018,16,5000,5000,wt2014,-1,,,0,0
E1070510016,【宜蘭】激流中的步伐體驗-深度之旅-適合10歲以上,9/8/2018,8/3/2018,14,5000,5000,wt2014,-1,,,0,0
E1070510017,【台東】池上稻穗特色之旅-適合全年齡(第一梯次),9/8/2018,8/3/2018,7,5000,5000,wt2014,-1,,,0,0
E1070510018,【台東】池上稻穗特色之旅-適合全年齡(第二梯次),9/15/2018,8/10/2018,7,5000,5000,wt2014,-1,,,0,0
E1070510019,【新竹】與長頸鹿有約~綠光小探險之旅-適合全年齡(第一梯次),11/10/2018,10/5/2018,3,5000,5000,wt2014,-1,,,0,0
E1070510020,【新竹】與長頸鹿有約~綠光小探險之旅-適合全年齡(第二梯次),12/1/2018,10/26/2018,1,5000,5000,wt2014,-1,,,0,0
E1070510021,【新竹】與長頸鹿有約~綠光小探險之旅-適合全年齡(第三梯次),12/8/2018,11/2/2018,4,5000,5000,wt2014,-1,,,0,0
E1070510022,【台中】溫泉饗宴~八仙山林美之旅適合全年齡(第一梯次),12/8/2018,11/2/2018,16,5000,5000,wt2014,-1,,,14,6
E1070510023,【台中】溫泉饗宴~八仙山林美之旅適合全年齡(第二梯次),12/15/2018,11/9/2018,0,5000,5000,wt2014,-1,,,0,0
E1070510024,【台中】溫泉饗宴~八仙山林美之旅適合全年齡(第三梯次),12/22/2018,11/16/2018,18,5000,5000,wt2014,-1,,,13,6
E1070510025,【花蓮】後山親子樂活~海洋總動員之旅 (第一梯次),11/24/2018,10/19/2018,44,5000,5000,wt2014,-1,,,3,0
E1070510026,【花蓮】後山親子樂活~海洋總動員之旅 (第二梯次),12/1/2018,10/26/2018,48,5000,5000,wt2014,-1,,,1,2
E1070510027,【台中】手做親子瘋麗寶之行-親子同行-大小孩6-18歲(第一梯次),12/8/2018,11/2/2018,5,5000,5000,wt2014,-1,,,0,0
E1070510028,【台中】手做親子瘋麗寶之行-親子同行-大小孩6-18歲(第二梯次),12/22/2018,11/16/2018,18,5000,5000,wt2014,-1,,,6,0
E1070510029,【新竹】與長頸鹿有約~綠光小探險之旅-適合全年齡,12/15/2018,11/9/2018,6,5000,5000,wt2014,-1,,,0,0
